policy,condition,seed,cell,episode,success,failure_mode,frames,duration_s,n_releases,n_kept,nearest_release_deg,max_travel_deg,n_rel_12,n_rel_11,n_rel_10,n_rel_9,n_rel_8
color-seed2000,color,2000,different_object,12,1,success,401,13.333,1,1,1.7158093195471302,48.26657371805611,1,1,1,1,1
color-seed2000,color,2000,different_object,13,1,success,412,13.7,1,1,1.5753347181075092,48.59472832116411,1,1,1,1,1
color-seed2000,color,2000,different_object,14,1,success,362,12.033,1,1,0.9514570619643656,49.41968665349252,1,1,1,1,1
color-seed2000,color,2000,different_object,15,1,success,373,12.4,1,1,2.718290857710546,47.36485143004372,1,1,1,1,1
color-seed2000,color,2000,distractors,1,1,success,446,14.833,1,1,3.0721214933207115,47.25533207917571,1,1,1,1,1
color-seed2000,color,2000,distractors,2,1,success,406,13.5,1,1,2.049729812986609,48.08367902543284,1,1,1,1,1
color-seed2000,color,2000,distractors,3,1,success,403,13.4,1,1,2.68383482339517,48.31392747191123,1,1,1,1,1
color-seed2000,color,2000,distractors,4,1,success,410,13.633,1,1,4.64650445187792,45.461076382031884,1,1,1,1,1
color-seed2000,color,2000,distractors,5,1,success,408,13.567,1,1,4.125084875826584,45.448006789388444,1,1,1,1,1
color-seed2000,color,2000,distractors,6,1,success,440,14.633,1,1,3.5461040927509337,46.53322442129177,1,1,1,1,1
color-seed2000,color,2000,distractors,7,1,success,518,17.233,1,1,2.6920557853237135,47.926990458147365,1,1,1,1,1
color-seed2000,color,2000,distractors,8,1,success,479,15.933,1,1,2.220065104705842,47.421506232594844,1,1,1,1,1
color-seed2000,color,2000,distractors,9,1,success,503,16.733,1,1,2.2463562620002016,47.242678600362275,1,1,1,1,1
color-seed2000,color,2000,distractors,10,1,success,404,13.433,1,1,3.5428475497334624,47.113258153276405,1,1,1,1,1
color-seed2000,color,2000,distractors,11,1,success,462,15.367,1,1,2.871507588301288,46.909472737196076,1,1,1,1,1
color-seed2000,color,2000,distractors,12,1,success,411,13.667,1,1,2.6071124790941873,47.69060161889049,1,1,1,1,1
color-seed2000,color,2000,distractors,13,1,success,424,14.1,1,1,3.2885531514522093,46.71773291189925,1,1,1,1,1
color-seed2000,color,2000,distractors,14,1,success,439,14.6,1,1,4.111032892706209,45.8340482538225,1,1,1,1,2
color-seed2000,color,2000,distractors,15,1,success,401,13.333,1,1,1.3523881647505185,47.68723290605797,1,1,1,1,1
color-seed2000,color,2000,in_distribution,1,0,timeout_other,1148,38.233,8,2,19.505287058877578,33.96534022269603,8,7,7,7,7
color-seed2000,color,2000,in_distribution,2,1,success,401,13.333,1,1,2.2151784809890778,47.798152570423504,1,1,1,1,1
color-seed2000,color,2000,in_distribution,3,1,success,429,14.267,1,1,1.002045648550169,49.87641138412072,1,1,1,1,1
color-seed2000,color,2000,in_distribution,4,1,success,620,20.633,2,1,1.2128778618821876,47.05324006546446,2,2,2,2,2
color-seed2000,color,2000,in_distribution,5,1,success,385,12.8,1,1,2.5373066703241953,46.85753992202028,1,1,1,1,1
color-seed2000,color,2000,in_distribution,6,0,contact_no_grasp,1151,38.333,6,0,45.57011461352252,3.0638805049829685,6,4,4,4,4
color-seed2000,color,2000,in_distribution,7,1,success,406,13.5,1,1,1.9262308466208289,46.77983518724236,1,1,1,1,1
color-seed2000,color,2000,in_distribution,8,1,success,370,12.3,1,1,3.015294817665893,47.859051734040726,1,1,1,1,1
